"%s is available for purchase in increments of %s only.","O item %s está disponível somente em incrementos de %s."
"%s is not a correct comparsion method.","%s não é um meio de comparação válido."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> que essas configurações são aplicáveis somente a uma linha do carrinho, e não a todo o carrinho."
"Add Minimum Qty","Adicionar Qtd Mínima"
"Allow Qty Below 0","Permitir Qtd Menor que 0"
"Allow Qty Below 0 and Notify Customer","Permitir Qtd Menor que 0, mas notificar o cliente"
"Automatically Return Credit Memo Item to Stock","Retornar Itens referentes a uma Nota de Crédito automaticamente ao estoque"
"Backorders","Encomendas"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Porcentagem"
"Cannot specify product identifier for the order item.","Impossível especificar o identificador do produto para esse pedido."
"Catalog Inventory","Inventário"
"Decrease Stock When Order is Placed","Decrementar o Estoque Quando um Novo Pedido For Realizado"
"Enable Qty Increments","Ativar Incrementos de Qtd"
"In Stock","Em Estoque"
"Index Product Stock Status","Status do índice de Estoque de Produtos"
"Inventory","Inventário"
"Inventory API","API de Inventário"
"Inventory Section","Sessão de Inventário"
"Manage Stock","Gerenciar Estoque"
"Maximum Qty Allowed in Shopping Cart","Qtd Máxima Permitida no Carrinho"
"Minimum Qty","Qtd Mínima"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho"
"No Backorders","Não Permitir Encomendas"
"Not all products are available in the requested quantity","Alguns dos produtos listados não estão disponíveis na quantidade solicitada"
"Notify for Quantity Below","Notificar sobre Quantidades Menores Que"
"Only X left Threshold","Limiar da opção 'Apenas X em Estoque'"
"Only %s left","Restam apenas %s em estoque"
"Out of Stock","Esgotado"
"Product Stock Options","Opções de Estoque do Produto"
"Qty Increments","Incrementos de Qtd"
"Qty for Items' Status to Become Out of Stock","Qtd para que o Status do Item Seja Alterado para 'Esgotado'"
"Retrieve stock data","Recuperar dados de estoque"
"Retrieve stock data by product ids","Recuperar dados de estoque por ids de produto"
"Rule price","Regras de Preço"
"Set Items' Status to be In Stock When Order is Cancelled","Setar o Status do Item para 'Em Estoque' Quando um Pedido Relacionado for Cancelado"
"Some of the products are currently out of stock.","Alguns dos produtos estão esgotados no momento."
"Some of the products cannot be ordered in requested quantity.","Alguns dos produtos listados não podem ser comprados na quantidade solicitada."
"Some of the products cannot be ordered in the requested quantity.","Alguns dos produtos listados não podem ser comprados na quantidade solicitada."
"Stock Options","Opções de Estoque"
"Stock Status","Status do Estoque"
"The maximum quantity allowed for purchase is %s.","A quantidade máxima permitida para compra é de %s item(s)."
"The minimum quantity allowed for purchase is %s.","A quantidade mínima permitida para compra é de %s item(s)."
"The requested quantity for ""%s"" is not available.","A quantida solicitada do item ""%s"" não está disponível em estoque."
"The stock item for Product in option is not valid.","O item selecionado na opção do produto não é válido."
"The stock item for Product is not valid.","O item selecionado para o produto não é valido."
"This product is available for purchase in increments of %s only.","O item %s está disponível para compra somente em incrementos de %s."
"This product is currently out of stock.","Esse produto está esgotado."
"This product is not available in the requested quantity. %s of the items will be backordered.","Esse produto não está disponível na quantidade solicitada. %s unidades serão colocadas como encomenda."
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Porcentagem"
"Undefined product type.","Tipo de produto indefinido."
"Update","Atualizar"
"Update product stock data","Atualizar dados de estoque do produto"
"Update the Product","Atualizar o Produto"
"The requested quantity for ""%s"" is not available.","Desculpe, não temos estoque suficiente do ""%s"" para atender seu pedido."
