"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"An error occurred while opening file: ""%s"".","Ocorreu um erro ao abrir o arquivo: ""%s""."
"Could not load file: ""%s"".","Impossível carregar o arquivo: ""%s""."
"Could not save file: %s.","Impossível salvar o arquivo: %s."
"Declared adapter %s was not found.","O adaptador %s declarado não foi encontrado."
"Destination folder ""%s"" is not a directory.","A pasta ""%s"" de destino não é um diretório."
"Destination folder ""%s"" is not writable.","A pasta ""%s"" de destino não possui permissões de escrita."
"Done","Feito"
"Dry run set, stopping execution.","Execução com conjunto vazio, parando a execução."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Erro no mapeamento de campos: lista de campos para mapeamento não definida."
"File ""%s"" does not exist.","O arquivo ""%s"" não existe."
"Found %d rows.","%d linhas encontradas."
"Less than a minute","Menos de um minuto"
"Loaded successfully: ""%s"".","Carregado com sucesso: ""%s""."
"Memory Used: %s","Memória Usada: %s"
"Method ""%s"" not defined in adapter %s.","O método ""%s"" não está definido no adaptador %s."
"Method ""%s"" was not defined in adapter %s.","O método ""%s"" não foi definido no adaptador %s."
"Please declare ""adapter"" and ""method"" nodes first.","Por favor declare primeiro os nós ""adaptador"" e ""método""."
"Processed records: %s","Registros processados: %s"
"Saved successfully: ""%s"" [%d byte(s)].","Salvo com sucesso: ""%s"" [%d byte(s)]."
"Sheet 1","Folha 1"
"Skip undefined row.","Linha indefinida ignorada."
"Starting %s :: %s","Iniciando %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","A pasta de destino ""%s"" não existe ou não existem permissões suficientes para que ela seja criada."
"Total records: %s","Total de registros: %s"
"hour","hora"
"hours","horas"
"minute","minuto"
"minutes","minutos"
