"-- Please select --","-- Favor selecionar --"
"Allowed Currencies","Moedas Permitidas"
"Base Currency","Moeda Base"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","A moeda base é usada para todas as transações de pagamento online. O escopo é definido pelo escopo de preço do catálogo (""Catálogo"" > ""Preço"" > ""Escopo de Preço do Catálogo"")."
"Cannot retrieve rate from %s.","Impossível obter as cotações de %s."
"Connection Timeout in Seconds","Tempo Limite de Conexão em Segundos"
"Continue &raquo;","Continue &raquo;"
"Country","País"
"Country API","API de País"
"Country and Format Type combination should be unique","A combinação de Pais e Tipo de Formato deve ser única"
"Currency","Moeda"
"Currency Options","Opções de Moeda"
"Currency Setup","Configuração de Moeda"
"Currency Update Warnings","Alertas de Atualização de Moeda"
"Default Display Currency","Moeda Padrão de Exibição"
"Directory","Diretório"
"Enabled","Ativado"
"Error Email Recipient","Destinatário do Email de Erro"
"Error Email Sender","Remetente do Email de Errro"
"Error Email Template","Template do Email de Erro"
"FATAL ERROR:","ERRO FATAL:"
"Frequency","Frequência"
"Installed Currencies","Moedas Instaladas"
"Invalid Import Service specified.","Serviço inválido de Importação especificado."
"Invalid country code: %s","Código De País Inválido: %s"
"Invalid rates received","As cotações recebidas são inválidas"
"Invalid target currency.","Moeda alvo inválida."
"List of countries","Lista de países"
"List of regions in specified country","Lista de regiões no país especificado"
"Postal Code is Optional for the following countries","Código Postal (CEP) é Opcional para os seguintes países"
"Region","Região"
"Region API","API de Região"
"Scheduled Import Settings","Configurações de Importação Agendada"
"Select Your Currency","Selecione Sua Moeda"
"Service","Serviço"
"Start Time","Hora de Início"
"State/Province","Estado"
"Strikeiron Email Update Warnings","Alertas de Atualização de Email Strikeiron"
"Unable to initialize the import model.","Impossível iniciar model de importação."
"Undefined rate from ""%s-%s"".","Cotação indefinida de ""%s-%s""."
"WARNING:","ALERTA:"
"Webservicex","Webservicex"
"Your current currency is: %s","Sua moeda atual é: %s"
