"Add","Adicionar"
"Add gift message for shopping cart","Adicionar mensagem de presente ao carrinho"
"Add gift messages for quote item of shopping cart","Adicionar mensagens de presente para um item do quote do carrinho"
"Add gift messages to products of shopping cart","Adicionar mensagens de presente para produtos do carrinho"
"Add gift options","Adicionar opções de presente"
"Add gift options for Individual Items","Adicionar opções de presente para Itens Individuais"
"Add gift options for the Entire Order","Adicionar opções de presente para Todo o Pedido"
"Add gift options.","Adicionar opções de presente."
"Allow Gift Messages for Order Items","Permitir a inclusão de mensagens de presente para itens do pedido"
"Allow Gift Messages on Order Level","Permitir a inclusão de mensagens de presente a nível de pedido"
"An error occurred while saving the gift message.","Ocorreu um erro ao salvar a mensagem de presente."
"Are you sure?","Você tem certeza?"
"Cancel","Cancelar"
"Do you have any gift items in your order?","Você tem algum item para presente no seu pedido?"
"Edit","Editar"
"From","De"
"Gift Message","Mensagem de Presente"
"Gift Message API","API de Mensagem de Presente"
"Gift Options","Opções de Presente"
"Gift Options for","Opções de Presente para"
"Gift Options for Individual Items","Opções de Presente Para Itens Individuais"
"Gift Options for the Entire Order.","Opções de Presente para Todo o Pedido."
"Gift Options for this address.","Opções de Presente para esse endereço."
"Item %d of %d","Item %d de %d"
"Message","Mensagem"
"No","Não"
"OK","OK"
"Save Gift Message","Salvar Mensagem de Presente"
"The gift message has been removed","A mensagem de presente foi removida com sucesso"
"The gift message has been saved","A mensagem de presente foi salva com sucesso"
"The gift message has been saved.","A mensagem de presente foi salva."
"To","Para"
"Unknown entity type","Tipo de entidade desconhecido"
"Use config","Usar config"
"Yes","Sim"
"You can leave this box blank if you do not wish to add a gift message for the item.","Você pode deixar esse campo em branco se você não desejar adicionar uma mensagem de presente para esse item."
"You can leave this box blank if you do not wish to add a gift message for this address.","Você pode deixar esse campo em branco se você não desejar adicionar uma mensagem de presente para esse endereço."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Você pode deixar esse campo em branco se você não desejar adicionar uma mensagem de presente para todo o pedido."
