"""Remember Me"" Default Value","Valor Padrão do ""Lembrar de Mim"""
"(Not %s?)","(Não é %s?)"
"* Required Fields","* Campos Obrigatórios"
"Address","Endereço"
"Address Information","Informações de Endereço"
"Already registered?","Já é registrado?"
"Back","Voltar"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você poderá fazer compras mais rápido, ter vários endereços de entrega diferentes, visualizar e gerenciar os seus pedidos antigos e muito mais."
"Cannot load configuration from file %s.","Impossível carregar as configurações a partir do arquivo %s."
"Checkout as Guest","Fazer Checkout como Visitante"
"Checkout as a Guest or Register","Faça o Checkout como Visitante ou Registre-se"
"City","Cidade"
"Clear Persistence on Log Out","Limpar Persistência ao fazer o Logout"
"Close","Fechar"
"Company","Compania"
"Confirm Password","Confirme a Senha"
"Continue","Continuar"
"Country","País"
"Create an Account","Criar uma Conta"
"Easy access to your order history and status","Acesso rápido ao seu histórico de pedidos e status"
"Email Address","Endereço de Email"
"Enable ""Remember Me""","Ativar ""Lembrar de Mim"""
"Enable Persistence","Ativar Persistência"
"Fast and easy check out","Checkout rápido e fácil"
"Fax","Fax"
"Forgot Your Password?","Esqueceu a Sua Senha?"
"Forgot your password?","Esqueceu a sua senha?"
"General Options","Opções Gerais"
"If you have an account with us, please log in.","Se você já tem uma conta na nossa loja, faça o login."
"Loading next step...","Carregando o próximo passo..."
"Login","Login"
"Login Information","Informações de Login"
"Login or Create an Account","Faça o Login ou Crie uma Conta"
"New Customers","Novos Clientes"
"Password","Senha"
"Persist Shopping Cart","Persistir Carrinho de Compras"
"Persistence Lifetime (seconds)","Templo de Vida da Persistência (segundos)"
"Persistent Shopping Cart","Carrinho de Compras Persistente"
"Personal Information","Informações Pessoais"
"Please log in below:","Por favor faça o login abaixo:"
"Please select region, state or province","Por favor selecione a região ou estado"
"Register","Registrar"
"Register and save time!","Registre-se e poupe tempo!"
"Register to Create an Account","Registre-se para Criar uma Conta"
"Register with us for future convenience:","Registre-se conosco para conveniência no futuro:"
"Registered Customers","Clientes Registrados"
"Remember Me","Lembrar de Mim"
"Save in address book","Salvar no catálogo de endereços"
"Select State/Province...","Selecione o Estado..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança do seu catálogo de endereços ou digite um novo endereço."
"Ship to different address","Enviar para um endereço diferente"
"Ship to this address","Enviar para esse endereço"
"Sign Up for Newsletter","Assine nossa Newsletter"
"State/Province","Estado"
"Street Address","Endereço"
"Street Address %s","Endereço %s"
"Submit","Enviar"
"Telephone","Telefone"
"Welcome, %s!","Bem vindo, %s!"
"What\'s this?","O que é isso?"
"Zip/Postal Code","CEP"
