"ALL","TODOS"
"ANY","QUALQUER"
"Add","Adicionar"
"Apply","Aplicar"
"Conditions Combination","Combinação de Condições"
"Description: %s","Descrição: %s"
"End Date should be greater than Start Date","A Data de Término deve ser maior que a Data de Início"
"Expire at: %s","Vence em: %s"
"FALSE","FALSAS"
"If %s of these conditions are %s:","Se %s essas/dessas condições forem %s:"
"Invalid discount amount.","Quantidade de desconto inválida."
"MATCHING ALL","CORRESPONDER A TODOS"
"MATCHING ANY","CORRESPONDER A QUALQUER"
"NOT MATCHING ALL","NãO CORRESPONDER A TODOS"
"NOT MATCHING ANY","NãO CORRESPONDER A QUALQUER"
"Name: %s","Nome: %s"
"Open Chooser","Abrir Seletor"
"Perform following actions","Realizar as seguintes ações"
"Please choose a condition to add...","Por favor escolha a condição a ser adicionada..."
"Please choose an action to add...","Por favor escolha a ação a ser adicionada..."
"Remove","Remover"
"Start at: %s","Inicia em: %s"
"TRUE","VERDADEIRAS"
"by","por"
"contains","contém"
"does not contain","não contém"
"equals or greater than","igual ou maior que"
"equals or less than","igual ou menor que"
"greater than","maior que"
"is","é"
"is not","não é"
"is not one of","não é um dos"
"is one of","é um dos"
"less than","menor que"
"to","até"
