"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (processado via Moneybookers) - International","Todos os Cartões de Crédito / Visa, Mastercard, AMEX, JCB, Diners (processados via Moneybookers) - Internacional"
"CartaSi (processado via Moneybookers) - Italy","CartaSi (processado via Moneybookers) - Itália"
"Carte Bleue (processado via Moneybookers) - France","Carte Bleue (processado via Moneybookers) - França"
"Customer ID","ID do Cliente"
"Dankort (processado via Moneybookers) - Denmark","Dankort (processado via Moneybookers) - Dinamarca"
"EPS Online-Überweisung (processado via Moneybookers) - Austria","EPS Online-Überweisung (processado via Moneybookers) - Austria"
"Enabled","Ativado"
"Find out more about Online Bank Transfer","Saiba mais sobre a Transferência Bancária Online"
"Giropay (processado via Moneybookers) - Germany","Giropay (processado via Moneybookers) - Alemanha"
"Laser (processado via Moneybookers) - Ireland","Laser (processado via Moneybookers) - Irlanda"
"Lastschrift (ELV) (processado via Moneybookers) - Germany","Lastschrift (ELV) (processado via Moneybookers) - Alemanha"
"Loading secure payment page (SSL)","Carregano página de pagamento segura (SSL))"
"Maestro (processado via Moneybookers) - United Kingdom, Austria, Spain","Maestro (processado via Moneybookers) - Reino Unido, Austria, Espanha"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Configurações do Moneybookers"
"Moneybookers Transaction ID: %s","ID de Transação Moneybookers: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Mais informações sobre o Moneybookers"
"Nordea Solo (processado via Moneybookers) - Finland","Nordea Solo (processado via Moneybookers) - Finlândia"
"Nordea Solo (processado via Moneybookers) - Sweden","Nordea Solo (processado via Moneybookers) - Suécia"
"Online Bank Transfer (processado via Moneybookers)","Transferência Bancária Online (processado via Moneybookers)"
"Order ID","ID do Pedido"
"POLi (processado via Moneybookers) - Australia","POLi (processado via Moneybookers) - Australia"
"Paymenõepay (processado via Moneybookers) - Itália"
"processado via Moneybookers","processado via Moneybookers"
"Przelewy24 (processado via Moneybookers) - Poland","Przelewy24 (processado via Moneybookers) - Polônia"
"Sofortüberweisung (processado via Moneybookers) - Germany","Sofortüberweisung (processado via Moneybookers) - Alemanha"
"Sort Order","Ordem de Classificação"
"The amount has been authorized and captured by Moneybookers.","A quantia foi autorizada e capturada pela Moneybookers."
"The customer was redirected to Moneybookers.","O cliente foi redirecionado para a Moneybookers."
"The order has been canceled.","O pedido foi cancelado."
"Title","Título"
"You will be redirected to our secure payment page when you place an order.","Você será redirecionado para nossa página de pagamento seguro quando for realizar o seu pedido."
"eNETS (processado via Moneybookers) - Singapore","eNETS (processado via Moneybookers) - Singapura"
"iDeal (processado via Moneybookers) - Netherlands","iDeal (processado via Moneybookers) - Holanda"
